step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
10600;42404;139;2,25126;0,6;0,4;0,136;0,063;1;25,76;8849,5;52352;12,7;1;1,2747156
10700;42804;140;1,93401;0,6;0,4;0,136;0,063;1;25,76;9095,7;52736;12,5;1;1,267743
10800;43204;141;1,92281;0,6;0,4;0,136;0,063;1;25,76;9402,6;53120;11,5;1;1,2631892
10900;43604;142;1,71901;0,6;0,4;0,136;0,063;1;25,76;9576,5;53504;11,9;1;1,258763
11000;44004;143;1,80333;0,6;0,4;0,136;0,063;1;25,76;9837,7;53888;11,9;1;1,2560678
11100;44404;144;1,81548;0,6;0,4;0,136;0,063;1;25,76;10035,3;54272;13;1;1,2538373
11200;44804;145;1,72952;0,6;0,4;0,136;0,063;1;25,76;10275;54784;11,1;0,99;1,2543915
11300;45204;146;1,70572;0,6;0,4;0,136;0,063;1;25,76;10472,3;55168;12;0,99;1,2521484
11400;45604;147;1,77853;0,6;0,4;0,136;0,063;1;25,76;10608,5;55552;12,3;0,99;1,2512338
11500;46004;148;1,68629;0,6;0,4;0,136;0,063;1;25,76;10741,4;55936;12,5;0,99;1,2483672
11600;46404;149;1,62649;0,6;0,4;0,136;0,063;1;25,76;10804,8;56320;13;0,99;1,2462841
11700;46804;150;1,58625;0,6;0,4;0,136;0,063;1;25,76;10941,3;56704;12,8;0,99;1,2436506
11800;47204;152;1,64127;0,6;0,4;0,136;0,063;1;25,76;11030,4;57088;12,7;0,99;1,2418209
11900;47604;152;1,64511;0,6;0,4;0,136;0,063;1;25,76;11108,1;57472;12;0,99;1,2402248
12000;48004;154;1,4845;0,6;0,4;0,136;0,063;1;25,76;11231,4;57984;11,9;0,99;1,2379585
12100;48404;155;1,55963;0,6;0,4;0,136;0,063;1;25,76;11306,4;58368;13,4;0,99;1,2375904
12200;48804;156;1,51705;0,6;0,4;0,136;0,063;1;25,76;11395,4;58752;14,1;0,99;1,2361159
12300;49204;156;1,51923;0,6;0,4;0,136;0,063;1;25,76;11450,7;59136;13,2;0,99;1,2347588
