game;len;score1;score2;score3;score4;fr;lenma
14870;633;1920;2214,3;1140;4600;0;857,6
14880;713;1760;2241,5;1140;4600;0;842,4
14890;721;3080;2235,1;350;4600;0;838
14900;709;1900;2202,6;350;4530;0;837
14910;1231;1630;2145,2;350;3400;0;864,4
14920;969;2200;2152,5;350;4640;0;870,7
14930;805;2010;2157,4;350;4640;0;855,9
14940;761;2420;2162;350;4640;0;843,1
14950;859;2190;2177,4;350;4640;0;840,2
14960;945;2600;2197,1;350;4640;0;845,5
14970;815;2530;2194,9;350;4640;0;839,9
14980;781;2190;2183,9;350;4640;0;843,9
14990;747;1980;2202,2;1040;4640;0;839
15000;835;1990;2207,1;1040;4640;0;842,8
15010;753;1680;2213,8;1040;4640;0;841,7
15020;705;2100;2218,3;1290;3460;0;839,4
15030;1057;2460;2240,4;1290;3460;0;837,1
15040;755;2010;2263;1550;3460;0;836,2
15050;1055;2510;2261,7;1550;3460;0;843,2
15060;705;3180;2278,6;1550;4660;0;827,7
15070;875;2080;2272,8;1550;4660;0;839,8
15080;711;2340;2294,9;1550;4660;0;839,7
15090;805;2600;2284,9;1550;4660;0;843,9
15100;1001;2550;2275,5;1550;4660;0;858,5
15110;831;2690;2334,4;1560;4660;0;838,5
15120;903;2010;2401,7;1590;4660;0;835,2
15130;913;2300;2386,7;1590;4660;0;840,6
15140;803;2170;2366,6;1170;4660;0;842,7
15150;831;2150;2372,2;1170;4660;0;841,3
15160;677;1910;2330,9;1170;4650;0;827,9
15170;823;2590;2339,8;1170;4650;0;828,3
15180;887;2600;2308,3;1170;4650;0;833,6
15190;785;2190;2304,6;1170;4650;0;835,5
15200;969;2630;2295,6;1170;4650;0;842,2
15210;1007;1900;2251,8;1170;4650;0;854,9
15220;725;2310;2192;1170;3810;0;855,9
15230;667;2320;2207,2;1170;4600;0;836,4
15240;767;1880;2220,4;1400;4600;0;837
15250;899;1950;2217,4;1400;4600;0;829,2
15260;897;1950;2216,9;1400;4600;0;838,8
15270;631;1480;2196,1;1400;4600;0;826,6
15280;727;2030;2191,2;1340;4600;0;827,4
15290;797;2570;2213,6;1340;4600;0;827
